version_id,language_tag
483,crm
3411,ami
1069,kud
3421,abm
1015,aau
3971,abr
2632,abn
2864,kgr
3381,mgj
2835,ace
1418,aca
3247,acr
3,acr
517,acr
513,acr
1295,acu
4,acu
4251,adb
2322,ada
2265,ada
4465,kad
2812,tiu
2185,adh
2186,adh
1530,adi
2019,wsg
1462,adj
1229,adz
2,afr
3499,afr
5,afr
6,afr
3660,afr
50,afr
117,afr
4384,afr
4401,afr
935,agd
2620,agq
4102,apf
515,agr
979,msm
1124,agn
2628,esg
3417,esg
4626,thm
3445,ahr
2776,ahr
4000,aix
3807,ayc
1533,aim
1944,ain
4444,afo
4255,idc
579,cpc
2094,aka
308,ake
1722,ahk
4343,ahk
2166,ahk
336,bss
1823,spm
4138,alw
2439,mim
4445,ala
986,amp
954,gah
1487,ald
4443,aab
323,alp
2571,aly
991,amm
980,amn
511,amr
1320,aaz
4356,rwm
1176,amk
4681,amk
1769,qva
3418,abs
2734,abs
3673,mmg
1006,abt
927,abt
978,aey
1356,ifa
1535,ajz
3487,ajz
229,amu
1858,anm
3092,aty
2584,aty
1011,aby
981,agm
988,akh
338,njm
589,agw
2911,yli
4089,ang
4088,ang
1001,agg
487,alq
2701,aoi
4362,aqk
1743,boj
936,boj
985,aak
2572,amx
4785,and
1450,ify
2168,cko
1413,aui
1731,any
3201,anu
3663,njo
1008,njo
865,apy
3351,ena
1529,apt
514,apn
4110,app
864,apu
501,shu_rom
519,arl
3193,arq
3878,acw
3944,acm
2810,apc
3868,apc
4379,pga
2839,atq
1369,arp
1404,mwc
3761,alu
3943,alu
407,aai
4377,luc
2341,luc
3887,luc
1655,rup
1559,rup
3879,rup
1409,apr
1639,aia
3174,gax_ars
3497,gax_ars
3173,gax_ars
3007,msy
913,msy
575,cni
568,cjo
2136,prq
238,cpu
3836,ast
4675,asr
3549,atm
1003,atd
851,mib
3679,aph
2342,atj
967,avt
4447,auh
2547,auu
1982,avn
1766,avu
932,awb
1092,kwi
2560,awa
1335,awx
3005,azo
845,auy
2390,quy
556,quy
2389,quy
655,vmy
2251,ayr
293,ayr
2250,ayr
2825,ayo
2466,abp
3952,abc
2765,blx
1659,miy
2324,azj
4192,azj
4194,azj
1138,bba
1983,bbk
3945,baa
3705,bcy
2795,bcy
1901,bvd
4719,bwt
876,ksf
2147,bfd
1557,bsp
3166,bfy
3550,bgq
3384,ind
199,ind
27,ind
2727,ind
2862,ind
4548,ind
2861,ind
2863,ind
306,ind
320,ind
377,msa
2271,msa
402,zlm
4749,zlm
1859,msa
4279,zlm
2975,max
2137,bdq
4254,bkx
4068,bsw
4064,bsw
1563,bdh
408,bkq
2420,bki
3330,bkh
4150,bjw
3234,bri
1115,blw
337,blz
2845,blz
4793,bcn
2513,bcn
302,ban
1500,bcc_rom
3760,bgp
4346,biz
2348,bmo
2639,ptu
1147,ptu
3828,bax
4363,bvm
1767,bcw
3068,lnl
4561,liy
1300,bqj
2841,bgz
4567,bnx
2228,bjn
3060,bap
2174,bno
3080,bci
1643,bci
970,bbb
571,bsn
